method,method2,x,y,radius,true_disc,min_dist
Starnet + BLiP,BLiP (q=0.05),4.999999873689376e-05,4.999999873689376e-05,7.071068102959543e-05,0,
Starnet + BLiP,BLiP (q=0.05),0.18150942027568817,0.02746746689081192,0.0015540808672085404,1,
Starnet + BLiP,BLiP (q=0.05),0.28999999165534973,0.029999999329447746,0.01414213515818119,1,
Starnet + BLiP,BLiP (q=0.05),0.22068384289741516,0.03327113017439842,0.0004135127237532288,0,
Starnet + BLiP,BLiP (q=0.05),0.23741786181926727,0.03883407264947891,0.011404948309063911,0,
Starnet + BLiP,BLiP (q=0.05),0.3937939405441284,0.043476931750774384,0.0024215986486524343,1,
Starnet + BLiP,BLiP (q=0.05),0.1693323254585266,0.05833692103624344,0.01414213515818119,1,
Starnet + BLiP,BLiP (q=0.05),0.3209540545940399,0.06655730307102203,0.0019372788956388831,1,
Starnet + BLiP,BLiP (q=0.05),0.34345126152038574,0.07315213978290558,0.005843857768923044,1,
Starnet + BLiP,BLiP (q=0.05),0.28145694732666016,0.07615894079208374,0.004682826343923807,1,
Starnet + BLiP,BLiP (q=0.05),0.2573913335800171,0.08894827216863632,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.05764791741967201,0.09110496193170547,0.007289760746061802,1,
Starnet + BLiP,BLiP (q=0.05),0.38026556372642517,0.09253528714179993,0.0004135127237532288,0,
Starnet + BLiP,BLiP (q=0.05),0.03760100528597832,0.09823895245790482,0.004682826343923807,1,
Starnet + BLiP,BLiP (q=0.05),0.09793814271688461,0.10824742168188095,0.007289760746061802,1,
Starnet + BLiP,BLiP (q=0.05),0.21142388880252838,0.11116667836904526,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.31452569365501404,0.11548059433698654,0.007289760746061802,1,
Starnet + BLiP,BLiP (q=0.05),0.2766261696815491,0.11814501881599426,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.1534918248653412,0.11914654821157455,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.22918231785297394,0.11921712756156921,0.0037612062878906727,1,
Starnet + BLiP,BLiP (q=0.05),0.12867361307144165,0.12029624730348587,0.0037612062878906727,1,
Starnet + BLiP,BLiP (q=0.05),0.08074579387903214,0.12184255570173264,0.005843857768923044,1,
Starnet + BLiP,BLiP (q=0.05),0.10195846855640411,0.1282990425825119,0.0037612062878906727,1,
Starnet + BLiP,BLiP (q=0.05),0.3302898705005646,0.12948015332221985,0.0030218239407986403,1,
Starnet + BLiP,BLiP (q=0.05),0.17491894960403442,0.13192521035671234,0.005843857768923044,1,
Starnet + BLiP,BLiP (q=0.05),0.19783955812454224,0.13281521201133728,0.011404948309063911,1,
Starnet + BLiP,BLiP (q=0.05),0.03177119791507721,0.13615676760673523,0.007289760746061802,1,
Starnet + BLiP,BLiP (q=0.05),0.1545032262802124,0.14058250188827515,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.1318400353193283,0.14913763105869293,0.004682826343923807,1,
