method,count_signals,q,power,fdr,res_power,fixed_radius
Starnet (MAP),1,1.0,0.07271095152603231,0.9074285714285715,81.0,0.000625
Starnet (MAP),1,1.0,0.10412926391382406,0.8674285714285714,116.0,0.0008333333333333334
Starnet (MAP),1,1.0,0.18850987432675045,0.76,210.0,0.00125
Starnet (MAP),1,1.0,0.2540394973070018,0.6765714285714286,283.0,0.0016666666666666668
Starnet (MAP),1,1.0,0.3590664272890485,0.5428571428571428,400.0,0.0025
Starnet (MAP),1,1.0,0.43447037701974867,0.44685714285714284,484.0,0.0033333333333333335
Starnet (MAP),1,1.0,0.5116696588868941,0.3485714285714286,570.0,0.005
Starnet (MAP),1,1.0,0.5350089766606823,0.31885714285714284,596.0,0.006666666666666667
Starnet (MAP),1,1.0,0.4874326750448833,0.37942857142857145,543.0,0.01
Starnet (MAP),1,1.0,0.20556552962298025,0.7382857142857143,229.0,0.02
Starnet (MAP),0,1.0,0.07271095152603231,0.9074285714285715,129600.0,0.000625
Starnet (MAP),0,1.0,0.10412926391382406,0.8674285714285714,139200.0,0.0008333333333333334
Starnet (MAP),0,1.0,0.18850987432675045,0.76,168000.0,0.00125
Starnet (MAP),0,1.0,0.25583482944344704,0.6742857142857143,171000.0,0.0016666666666666668
Starnet (MAP),0,1.0,0.3635547576301616,0.5371428571428571,162000.0,0.0025
Starnet (MAP),0,1.0,0.44254937163375224,0.43657142857142855,149100.0,0.0033333333333333335
Starnet (MAP),0,1.0,0.5368043087971275,0.31657142857142856,123600.0,0.005
Starnet (MAP),0,1.0,0.6104129263913824,0.22285714285714286,106500.0,0.006666666666666667
Starnet (MAP),0,1.0,0.6741472172351886,0.1417142857142857,80200.0,0.01
Starnet (MAP),0,1.0,0.7235188509874326,0.07885714285714286,42150.0,0.02
Starnet + BLiP,0,0.05,0.4228007181328546,0.0854368932038835,105811.32737479839,0.0
Starnet + BLiP,0,0.1,0.47217235188509876,0.12624584717607973,135323.05600715347,0.0
Starnet + BLiP,0,0.15,0.4955116696588869,0.167420814479638,154210.47139349097,0.0
Starnet + BLiP,0,0.2,0.5044883303411131,0.21617852161785217,166184.1046216352,0.0
Starnet + BLiP,0,0.25,0.4982046678635548,0.2754569190600522,173809.7106982551,0.0
Starnet + BLiP,0,0.3,0.5026929982046678,0.3269230769230769,177341.3409438726,0.0
Starnet + BLiP,0,0.35,0.5062836624775583,0.37816979051819183,180475.63305294304,0.0
Starnet + BLiP,0,0.4,0.5233393177737882,0.4152457372116349,190814.983280516,0.0
Starnet + BLiP,0,0.45,0.5206463195691203,0.46788990825688076,198666.05579391285,0.0
Starnet + BLiP,0,0.5,0.5251346499102334,0.5079899074852817,203364.28333625774,0.0
Starnet + BLiP,0,0.55,0.5215439856373429,0.5513513513513514,209930.84855556657,0.0
Starnet + BLiP,0,0.6,0.4964093357271095,0.606405693950178,212427.7842421743,0.0
Starnet + BLiP,0,0.65,0.49281867145421904,0.6383399209486166,223150.27096132626,0.0
Starnet + BLiP,0,0.7,0.4964093357271095,0.633774834437086,223780.42383220722,0.0
Starnet + BLiP,0,0.75,0.48922800718132853,0.6373918829008649,217768.25639575164,0.0
Starnet + BLiP,1,0.05,0.4614003590664273,0.06375227686703097,329.967464269737,0.0
Starnet + BLiP,1,0.1,0.5116696588868941,0.10518053375196232,428.38827889693687,0.0
Starnet + BLiP,1,0.15,0.5296229802513465,0.15472779369627507,491.5251312234863,0.0
Starnet + BLiP,1,0.2,0.5368043087971275,0.19515477792732167,546.0272699775022,0.0
Starnet + BLiP,1,0.25,0.5430879712746858,0.2399497487437186,581.3628409054259,0.0
Starnet + BLiP,1,0.3,0.5709156193895871,0.2829763246899662,627.5316745066398,0.0
Starnet + BLiP,1,0.35,0.59245960502693,0.33534743202416917,658.0331569452467,0.0
Starnet + BLiP,1,0.4,0.6059245960502693,0.3784530386740331,672.5337260411357,0.0
Starnet + BLiP,1,0.45,0.5942549371633752,0.4394580863674852,658.0321682043714,0.0
Starnet + BLiP,1,0.5,0.6086175942549371,0.4518997574777688,674.534432156087,0.0
Starnet + BLiP,1,0.55,0.6005385996409336,0.4596122778675283,667.0336215272387,0.0
Starnet + BLiP,1,0.6,0.6005385996409336,0.4613526570048309,666.0343498182365,0.0
Starnet + BLiP,1,0.65,0.5906642728904847,0.4693548387096774,656.0336657342282,0.0
Starnet + BLiP,1,0.7,0.5969479353680431,0.4624090541632983,662.5341449245311,0.0
Starnet + BLiP,1,0.75,0.6059245960502693,0.45913461538461536,671.5325585658563,0.0
